station_id, obs_time, wx, rh, t, td, wdir, wspeed, pressure
SBBH,201707091400,Partly Cloudy,60,20,12,80,11,918.87 
SBBH,201707091300,Mostly Cloudy,68,18,12,110,6,917.97 
SBBH,201707091200,Fair,72,17,12,None,0,917.97 
SBBH,201707091000,Fair,82,14,7,90,19,917.08 
SBBH,201707082000,Fair,49,20,12,80,11,918.87 
SBBH,201707081900,Partly Cloudy,52,19,12,100,11,918.87 
SBBH,201707081800,Mostly Cloudy,46,21,10,None,0,917.08 
SBBH,201707081700,Mostly Cloudy,49,20,12,80,11,918.87 
SBBH,201707081500,Mostly Cloudy,49,20,12,80,11,918.87 
SBBH,201707081400,Mostly Cloudy,56,20,12,80,11,918.87 
SBBH,201707081300,Partly Cloudy,64,18,12,110,6,917.97 
SBBH,201707081100,Mostly Cloudy,77,15,4,130,9,915.29 
SBBH,201707081000,Mostly Cloudy,82,13,9,90,22,917.97 
SBBH,201707072000,Partly Cloudy,52,20,12,80,11,918.87 
SBBH,201707071800,Mostly Cloudy,56,20,12,80,11,918.87 
SBBH,201707071700,Mostly Cloudy,60,19,12,100,11,918.87 
SBBH,201707071600,Mostly Cloudy,60,19,12,100,11,918.87 
SBBH,201707071500,Mostly Cloudy,64,18,12,110,6,917.97 
SBBH,201707071400,Mostly Cloudy,64,19,12,100,11,918.87 
SBBH,201707071300,Mostly Cloudy,72,17,12,None,0,917.97 
SBBH,201707071100,Mostly Cloudy,77,15,4,130,9,915.29 
SBBH,201707071000,Fair,82,14,7,90,19,917.08 
SBBH,201707062000,Mostly Cloudy,64,18,12,110,6,917.97 
SBBH,201707061900,Mostly Cloudy,60,19,12,100,11,918.87 
SBBH,201707061800,Mostly Cloudy,60,19,12,100,11,918.87 
SBBH,201707061700,Mostly Cloudy,56,21,10,None,0,917.08 
SBBH,201707061600,Mostly Cloudy,60,19,12,100,11,918.87 
SBBH,201707061500,Mostly Cloudy,68,17,12,None,0,917.97 
SBBH,201707061400,Mostly Cloudy,63,17,12,None,0,917.97 
SBBH,201707061300,Mostly Cloudy,63,17,12,None,0,917.97 
SBBH,201707061100,Mostly Cloudy,88,14,7,90,19,917.08 
SBBH,201707061000,Mostly Cloudy,94,12,10,90,22,918.87 
SBBH,201707052000,Partly Cloudy,59,17,12,None,0,917.97 
SBBH,201707051800,Mostly Cloudy,52,19,12,100,11,918.87 
SBBH,201707051700,Mostly Cloudy,52,19,12,100,11,918.87 
SBBH,201707051600,Mostly Cloudy,56,19,12,100,11,918.87 
SBBH,201707051400,Mostly Cloudy,59,18,12,110,6,917.97 
SBBH,201707051300,Mostly Cloudy,63,17,12,None,0,917.97 
SBBH,201707051100,Mostly Cloudy,72,14,7,90,19,917.08 
SBBH,201707051000,Mostly Cloudy,77,13,9,90,22,917.97 
SBBH,201707042000,Partly Cloudy,48,17,12,None,0,917.97 
SBBH,201707041800,Mostly Cloudy,43,19,12,100,11,918.87 
SBBH,201707041600,Mostly Cloudy,45,18,12,110,6,917.97 
SBBH,201707041500,Mostly Cloudy,45,18,12,110,6,917.97 
SBBH,201707041300,Partly Cloudy / Windy,48,16,7,80,11,916.18 
SBBH,201707041200,Partly Cloudy,63,14,7,90,19,917.08 
SBBH,201707041100,Fair,72,12,10,90,22,918.87 
SBBH,201707041000,Fair,82,10,10,110,20,917.97 
SBBH,201707032000,Fair,39,17,12,None,0,917.97 
SBBH,201707031800,Fair,37,20,12,80,11,918.87 
SBBH,201707031700,Fair,40,20,12,80,11,918.87 
SBBH,201707031600,Fair,40,20,12,80,11,918.87 
SBBH,201707031400,Fair,42,18,12,110,6,917.97 
SBBH,201707031200,Fair,59,15,4,130,9,915.29 
SBBH,201707031000,Fair,72,13,9,90,22,917.97 
SBBH,201707022000,Fair,60,20,12,80,11,918.87 
SBBH,201707021900,Partly Cloudy,49,21,10,None,0,917.08 
SBBH,201707021800,Partly Cloudy,44,23,5,50,4,915.29 
SBBH,201707021700,Partly Cloudy,46,22,6,310,2,916.18 
SBBH,201707021500,Mostly Cloudy,56,21,10,None,0,917.08 
SBBH,201707021400,Partly Cloudy,60,19,12,100,11,918.87 
SBBH,201707021300,Partly Cloudy,56,21,10,None,0,917.08 
SBBH,201707021200,Fair,64,19,12,100,11,918.87 
SBBH,201707021100,Fair,68,18,12,110,6,917.97 
SBBH,201707021000,Fair,77,17,12,None,0,917.97 
SBBH,201707012000,Partly Cloudy,36,23,5,50,4,915.29 
SBBH,201707011900,Partly Cloudy,36,23,5,50,4,915.29 
SBBH,201707011800,Partly Cloudy,34,24,6,340,6,915.29 
SBBH,201707011600,Partly Cloudy,29,25,5,None,0,915.29 
SBBH,201707011500,Fair,29,25,5,None,0,915.29 
SBBH,201707011400,Fair,41,23,5,50,4,915.29 
SBBH,201707011300,Fair,38,22,6,310,2,916.18 
SBBH,201707011200,Fair,64,19,12,100,11,918.87 
SBBH,201707011100,Fair,72,16,7,80,11,916.18 
SBBH,201707011000,Fair,82,14,7,90,19,917.08 
SBBH,201706302000,Partly Cloudy,38,22,6,310,2,916.18 
SBBH,201706301900,Partly Cloudy,31,23,5,50,4,915.29 
SBBH,201706301800,Partly Cloudy,31,24,6,340,6,915.29 
SBBH,201706301700,Fair,29,24,6,340,6,915.29 
SBBH,201706301600,Fair,33,23,5,50,4,915.29 
SBBH,201706301500,Fair,44,23,5,50,4,915.29 
SBBH,201706301300,Fair,56,21,10,None,0,917.08 
