trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,True,"{'a': 0, 'e': 0}",25,11,24.901668214012943,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0, 'e': 0}",25,14,19.87379398875496,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0, 'e': 0}",20,11,16.099576115359227,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0, 'e': 0}",20,10,18.997996724257177,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0, 'e': 0}",30,19,17.48148915725617,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'a': 0, 'e': 0}",20,14,11.571058093988244,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0, 'e': 0}",20,7,22.43641965820671,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0, 'e': 0}",25,13,20.59158444436538,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0, 'e': 0}",30,19,19.67305473234424,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0, 'e': 0}",35,23,21.392439834241415,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0, 'e': 0}",20,10,15.002791231546237,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0, 'e': 0}",20,10,19.364001388164127,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0, 'e': 0}",20,11,14.789692383745379,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0, 'e': 0}",20,13,11.887363585650597,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0, 'e': 0}",20,12,14.08173366520226,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0, 'e': 0}",30,7,38.09711014811197,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",20,13,14.51441344486782,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0, 'e': 0}",25,19,13.681661114809858,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0, 'e': 0}",20,8,20.689842391276574,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0, 'e': 0}",25,0,39.62948002577951,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,True,"{'a': 0, 'e': 0}",20,12,14.977116496406992,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0, 'e': 0}",20,5,26.585481694094312,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0, 'e': 0}",25,20,8.152971507165079,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0, 'e': 0}",30,13,32.89112029400737,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0, 'e': 0}",20,10,17.55482438764555,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0, 'e': 0}",25,11,23.773151221314027,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0, 'e': 0}",25,20,7.1130203689489875,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0, 'e': 0}",20,5,26.815511302531895,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0, 'e': 0}",20,0,29.681828066873383,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,True,"{'a': 0, 'e': 0}",25,15,17.883298779296023,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,True,"{'a': 0, 'e': 0}",25,8,31.502431373036657,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,True,"{'a': 0, 'e': 0}",25,17,17.69871029635582,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,True,"{'a': 0, 'e': 0}",30,21,19.568091563623014,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,True,"{'a': 0, 'e': 0}",20,16,9.915918383844847,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,True,"{'a': 0, 'e': 0}",30,21,15.949014623382329,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,True,"{'a': 0, 'e': 0}",20,4,24.663943824381818,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,True,"{'a': 0, 'e': 0}",25,14,22.416366314317376,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,True,"{'a': 0, 'e': 0}",25,10,28.664932582658665,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,True,"{'a': 0, 'e': 0}",20,12,13.703415942211743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,True,"{'a': 0, 'e': 0}",25,3,36.01696759537671,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,True,"{'a': 0, 'e': 0}",25,0,38.371756666516816,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,True,"{'a': 0, 'e': 0}",25,15,19.157579862283374,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,True,"{'a': 0, 'e': 0}",20,12,16.119136316293826,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,True,"{'a': 0, 'e': 0}",20,11,19.53299727839869,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
